Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.005    0.003 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1613(represent_as)
       18    0.001    0.000    0.005    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/type_check.py:404(nan_to_num)
        8    0.000    0.000    0.005    0.001 <__array_function__ internals>:177(concatenate)
        2    0.000    0.000    0.005    0.003 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1594(to_cartesian)
       11    0.001    0.000    0.005    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:338(guess_chunk)
       18    0.001    0.000    0.005    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:566(_validate_angles)
      230    0.003    0.000    0.005    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:222(_is_ascii)
        3    0.000    0.000    0.005    0.002 <__array_function__ internals>:177(transpose)
        3    0.000    0.000    0.005    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:601(transpose)
        3    0.000    0.000    0.005    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        2    0.000    0.000    0.005    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
     2128    0.002    0.000    0.005    0.000 {built-in method builtins.isinstance}
      358    0.002    0.000    0.005    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:816(get_representation_component_names)
        2    0.000    0.000    0.004    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1555(__init__)
        8    0.000    0.000    0.004    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/builtin_frames/fk5.py:37(_precession_matrix)
        8    0.000    0.000    0.004    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/earth_orientation.py:123(precession_matrix_Capitaine)
       54    0.000    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:112(__new__)
        4    0.000    0.000    0.004    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/builtin_frames/galactic_transforms.py:18(fk5_to_gal)
