Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:282(_screen_shape_linux)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/erfa.py:52(helper_s2p)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:576(_get_free_pos)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/physical.py:200(<setcomp>)
       25    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:389(<genexpr>)
       58    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
       32    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:679(_validate_differentials)
       53    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       42    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       19    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:552(get_component)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:162(__init__)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/helpers.py:29(get_converter)
        5    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/erfa.py:68(helper_p2s)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:348(_stack_dispatcher)
       14    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/matrix_utilities.py:30(matrix_transpose)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:420(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:326(close)
       58    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/converters.py:176(<genexpr>)
       54    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2302(_any_dispatcher)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/erfa.py:41(helper_s2c)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       43    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:53(get_reprdiff_cls_hash)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1872(_try_wait)
       29    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:314(convert_input)
       21    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:634(cache)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/random.py:237(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:489(__exit__)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       36    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:155(_convert_unit_to_angle_unit)
       48    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/polynomial.py:700(_polyval_dispatcher)
       48    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:72(_zeros_like_dispatcher)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:579(<setcomp>)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:454(<listcomp>)
       48    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/multiarray.py:80(empty_like)
       28    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:171(register_after_fork)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:112(__enter__)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:115(__exit__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/weakref.py:105(__init__)
       37    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:668(has_data)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/_distutils_hack/__init__.py:89(find_spec)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:41(find_item_type)
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:253(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:402(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1968a14f70}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:528(__init__)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/posixpath.py:150(dirname)
       32    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1952(lon)
       36    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/ufunclike.py:68(_dispatcher)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:111(remove)
       29    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:682(wrap_angle)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       32    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/time/formats.py:177(jd1)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:517(_read_eof)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
       27    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:305(id)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:27(__exit__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:408(__init__)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1300(fp_write)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:360(Barrier)
       25    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:349(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       23    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       21    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1472(<listcomp>)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:43(rot)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:747(differential_type)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/weakref.py:165(__setitem__)
        5    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:500(_no_angle_subclass)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1991(represent_as)
       23    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {method '__exit__' of 'h5py._objects.FastRLock' objects}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:86(add)
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/utils.py:159(is_effectively_unity)
       26    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/compat.py:11(filename_encode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       22    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:165(rq_tuple)
       14    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       21    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1406(_moveaxis_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
       15    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:974(isscalar)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:470(_push_exit_callback)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:149(registry)
       14    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       12    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:338(__init__)
       22    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/attributes.py:361(convert_input)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:329(status_printer)
       20    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/helpers.py:22(_d)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:409(_init_read)
       18    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/type_check.py:400(_nan_to_num_dispatcher)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:228(__init__)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/os.py:804(fsencode)
       18    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:909(with_differentials)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:925(equivalencies)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:424(<setcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:373(shape)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:39(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:402(_create_cb_wrapper)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:136(disable_on_exception)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:54(_get_diff_cls)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:215(_supports_unicode)
       15    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:665(__quantity_subclass__)
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:476(_broadcast_arrays_dispatcher)
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1959(lat)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:413(_read_exact)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/group.py:34(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method h5py.h5.get_config}
       13    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:942(without_differentials)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1084(<genexpr>)
       11    0.000    0.000    0.000    0.000 {method 'lstrip' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       11    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:339(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:74(__eq__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1568(_get_handles)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:105(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:404(_exit_wrapper)
       12    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55a2318a12c0}
       13    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:53(_commit_removals)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:59(close)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/weakref.py:290(update)
       12    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1966(distance)
        7    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:787(<listcomp>)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:91(_normalize_external)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        7    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:328(_get_representation_component_units)
        2    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       12    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1362(to_cartesian)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1825(_handle_exitstatus)
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
        9    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1406(<genexpr>)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:94(is_float16_dtype)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:17(__init__)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2401(_all_dispatcher)
        7    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:797(_re_represent_differentials)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1880(__getattr__)
       11    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:26(__init__)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:228(__init__)
        9    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1166(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:345(flush)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1167(_comparable)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1045(__del__)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:171(__eq__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:46(SemLock)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/multiarray.py:736(dot)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:182(Finalize)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1250(is_frame_attr_default)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1171(__hash__)
        8    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:55(frame)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:201(_is_utf)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:88(__getattr__)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:101(wrapper_setattr)
        7    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/posixpath.py:41(_get_sep)
        5    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/weakref.py:348(__new__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:79(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1161(__del__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:1162(daemon)
        5    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1017(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        5    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/context.py:233(get_context)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:1358(current_thread)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:352(fileno)
        1    0.000    0.000    0.000    0.000 {method 'set_alignment' of 'h5py.h5p.PropFAID' objects}
        2    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:256(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:268(_acquire_restore)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:1147(daemon)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:1229(_make_invoke_excepthook)
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1566(lon)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:123(Semaphore)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:271(_is_owned)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:740(_raise_if_has_differentials)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        4    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1573(lat)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:259(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:265(_release_save)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:597(_transpose_dispatcher)
